year,quarter,lad_code,hpi
2022,Q1,E06000023,97.075
2022,Q1,E06000024,96.28333333333335
2022,Q1,E06000025,96.31666666666666
2022,Q1,E06000026,96.93333333333334
2022,Q1,E06000027,96.14166666666667
2022,Q1,E06000030,96.60000000000001
2022,Q1,E06000031,94.60833333333333
2022,Q1,E06000032,97.7
2022,Q1,E06000033,97.8
2022,Q1,E06000034,96.03333333333335
2022,Q1,E06000035,96.26666666666667
2022,Q1,E06000036,97.39999999999999
2022,Q1,E06000037,96.33333333333333
2022,Q1,E06000038,96.23333333333333
2022,Q1,E06000039,97.26666666666667
2022,Q1,E06000040,99.51666666666667
2022,Q1,E06000041,95.72500000000001
2022,Q1,E06000042,96.59166666666665
2022,Q1,E06000043,95.875
2022,Q1,E06000044,96.20833333333333
2022,Q1,E06000045,95.90833333333335
2022,Q1,E06000046,96.79166666666667
2022,Q1,E06000047,96.01666666666667
2022,Q1,E06000049,96.27499999999999
2022,Q1,E06000050,95.11666666666667
2022,Q1,E06000051,95.8
2022,Q1,E06000052,97.59166666666665
2022,Q1,E06000054,96.91666666666667
2022,Q1,E06000055,98.03333333333335
2022,Q1,E06000056,96.04166666666667
2022,Q1,E06000057,96.74166666666667
2022,Q1,E06000058,96.28333333333335
2022,Q1,E06000059,98.8
2022,Q1,E06000060,98.75833333333333
2022,Q1,E06000061,96.98333333333333
2022,Q1,E06000062,97.25833333333333
2022,Q1,E06000063,98.45833333333333
2022,Q1,E06000064,99.66666666666667
2022,Q1,E06000065,97.68333333333334
2022,Q1,E06000066,97.13333333333333
2022,Q1,E07000008,100.5
2022,Q1,E07000009,98.61666666666667
2022,Q1,E07000010,97.51666666666667
2022,Q1,E07000011,97.61666666666667
2022,Q1,E07000012,98.16666666666667
2022,Q1,E07000032,94.58333333333333
2022,Q1,E07000033,96.16666666666667
2022,Q1,E07000034,97.675
2022,Q1,E07000035,94.60833333333333
2022,Q1,E07000036,96.825
2022,Q1,E07000037,95.78333333333335
2022,Q1,E07000038,92.83333333333333
2022,Q1,E07000039,96.05833333333334
2022,Q1,E07000040,98.20833333333333
2022,Q1,E07000041,95.3
2022,Q1,E07000042,95.89166666666667
2022,Q1,E07000043,99.79166666666667
2022,Q1,E07000044,100.46666666666665
2022,Q1,E07000045,97.25
2022,Q1,E07000046,92.52499999999999
2022,Q1,E07000047,97.16666666666667
2022,Q1,E07000061,96.14999999999999
2022,Q1,E07000062,98.90833333333335
2022,Q1,E07000063,97.325
2022,Q1,E07000064,97.78333333333335
2022,Q1,E07000065,97.925
2022,Q1,E07000066,96.27499999999999
2022,Q1,E07000067,97.84166666666665
2022,Q1,E07000068,100.96666666666665
2022,Q1,E07000069,97.85833333333333
2022,Q1,E07000070,98.625
2022,Q1,E07000071,96.09166666666665
2022,Q1,E07000072,97.73333333333333
2022,Q1,E07000073,95.21666666666665
2022,Q1,E07000074,95.33333333333333
2022,Q1,E07000075,94.26666666666667
2022,Q1,E07000076,96.26666666666667
2022,Q1,E07000077,100.26666666666667
2022,Q1,E07000078,97.85000000000001
2022,Q1,E07000079,93.33333333333333
2022,Q1,E07000080,95.71666666666665
2022,Q1,E07000081,96.25
2022,Q1,E07000082,100.22500000000001
2022,Q1,E07000083,95.13333333333333
2022,Q1,E07000084,96.99166666666667
2022,Q1,E07000085,96.45
2022,Q1,E07000086,98.39166666666667
2022,Q1,E07000087,97.72500000000001
2022,Q1,E07000088,95.49166666666667
2022,Q1,E07000089,97.0
2022,Q1,E07000090,97.15833333333335
2022,Q1,E07000091,99.11666666666667
2022,Q1,E07000092,98.325
2022,Q1,E07000093,97.18333333333334
2022,Q1,E07000094,99.26666666666667
2022,Q1,E07000095,97.75
2022,Q1,E07000096,97.14166666666667
2022,Q1,E07000098,98.64166666666667
2022,Q1,E07000099,99.76666666666667
2022,Q1,E07000102,100.575
2022,Q1,E07000103,98.24166666666667
2022,Q1,E07000105,97.36666666666667
2022,Q1,E07000106,97.29166666666667
2022,Q1,E07000107,97.66666666666667
2022,Q1,E07000108,99.00833333333333
2022,Q1,E07000109,96.125
2022,Q1,E07000110,97.575
2022,Q1,E07000111,96.20833333333333
2022,Q1,E07000113,96.40833333333335
2022,Q1,E07000114,95.93333333333334
2022,Q1,E07000115,96.81666666666666
2022,Q1,E07000116,98.63333333333333
2022,Q1,E07000117,99.175
2022,Q1,E07000118,96.05833333333334
2022,Q1,E07000119,92.85833333333333
2022,Q1,E07000120,99.48333333333333
2022,Q1,E07000121,95.70833333333333
2022,Q1,E07000122,92.23333333333333
2022,Q1,E07000123,97.55833333333334
2022,Q1,E07000124,94.95833333333333
2022,Q1,E07000125,94.20833333333333
2022,Q1,E07000126,98.14999999999999
2022,Q1,E07000127,97.85833333333333
2022,Q1,E07000128,97.50833333333333
2022,Q1,E07000129,97.15833333333335
2022,Q1,E07000130,96.27499999999999
2022,Q1,E07000131,96.325
2022,Q1,E07000132,97.66666666666667
2022,Q1,E07000133,96.375
2022,Q1,E07000134,97.28333333333335
2022,Q1,E07000135,95.34166666666665
2022,Q1,E07000136,98.35833333333333
2022,Q1,E07000137,95.575
2022,Q1,E07000138,98.875
2022,Q1,E07000139,96.55
2022,Q1,E07000140,97.14166666666667
2022,Q1,E07000141,97.33333333333333
2022,Q1,E07000142,97.38333333333333
2022,Q1,E07000143,96.05833333333334
2022,Q1,E07000144,97.04166666666667
2022,Q1,E07000145,96.84166666666665
2022,Q1,E07000146,95.40833333333335
2022,Q1,E07000147,98.89999999999999
2022,Q1,E07000148,96.2
2022,Q1,E07000149,96.14999999999999
2022,Q1,E07000170,96.78333333333335
2022,Q1,E07000171,101.56666666666666
2022,Q1,E07000172,95.3
2022,Q1,E07000173,96.18333333333334
2022,Q1,E07000174,96.19166666666666
