year,quarter,lad_code,claimant_count
2018,Q2,S12000026,1110
2018,Q2,S12000027,125
2018,Q2,S12000028,1870
2018,Q2,S12000029,6245
2018,Q2,S12000030,1447
2018,Q2,S12000033,3308
2018,Q2,S12000034,2105
2018,Q2,S12000035,862
2018,Q2,S12000036,4952
2018,Q2,S12000038,3223
2018,Q2,S12000039,2160
2018,Q2,S12000040,2145
2018,Q2,S12000041,1953
2018,Q2,S12000042,4175
2018,Q2,S12000045,1162
2018,Q2,S12000047,7813
2018,Q2,S12000048,1125
2018,Q2,S12000049,13987
2018,Q2,S12000050,6257
2018,Q2,W06000001,958
2018,Q2,W06000002,1243
2018,Q2,W06000003,1375
2018,Q2,W06000004,1127
2018,Q2,W06000005,2152
2018,Q2,W06000006,2007
2018,Q2,W06000008,455
2018,Q2,W06000009,1460
2018,Q2,W06000010,2165
2018,Q2,W06000011,4480
2018,Q2,W06000012,2870
2018,Q2,W06000013,1772
2018,Q2,W06000014,1247
2018,Q2,W06000015,5403
2018,Q2,W06000016,3215
2018,Q2,W06000018,2843
2018,Q2,W06000019,1205
2018,Q2,W06000020,1980
2018,Q2,W06000021,615
2018,Q2,W06000022,3280
2018,Q2,W06000023,727
2018,Q2,W06000024,983
2018,Q3,E06000001,3897
2018,Q3,E06000002,3795
2018,Q3,E06000003,2615
2018,Q3,E06000004,3745
2018,Q3,E06000005,2362
2018,Q3,E06000006,3200
2018,Q3,E06000007,3153
2018,Q3,E06000008,3492
2018,Q3,E06000009,3508
2018,Q3,E06000010,6120
2018,Q3,E06000011,2858
2018,Q3,E06000012,4102
2018,Q3,E06000013,3113
2018,Q3,E06000014,1700
2018,Q3,E06000015,3330
2018,Q3,E06000016,4413
2018,Q3,E06000017,207
2018,Q3,E06000018,6878
2018,Q3,E06000019,1210
2018,Q3,E06000020,1893
2018,Q3,E06000021,4257
2018,Q3,E06000022,2093
2018,Q3,E06000023,5123
2018,Q3,E06000024,2092
2018,Q3,E06000025,1480
2018,Q3,E06000026,4672
2018,Q3,E06000027,1408
2018,Q3,E06000030,3083
2018,Q3,E06000031,3268
2018,Q3,E06000032,2465
2018,Q3,E06000033,3532
2018,Q3,E06000034,2482
2018,Q3,E06000035,3467
2018,Q3,E06000036,623
2018,Q3,E06000037,980
2018,Q3,E06000038,2198
2018,Q3,E06000039,1507
2018,Q3,E06000040,692
2018,Q3,E06000041,718
2018,Q3,E06000042,2625
2018,Q3,E06000043,4362
2018,Q3,E06000044,2418
2018,Q3,E06000045,4482
2018,Q3,E06000046,1365
2018,Q3,E06000047,10903
