feature,intended_type,actual_pandas_dtype,feature_group,missing_rate_all_rows,nunique_all_rows
private_rental_price_monthly_change_yoy_pct_lag8q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_annual_change_qoq_pct_lag1q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_annual_change_qoq_pct_lag2q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_annual_change_qoq_pct_lag4q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_annual_change_qoq_pct_lag8q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_annual_change_yoy_pct_lag1q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_annual_change_yoy_pct_lag2q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_annual_change_yoy_pct_lag4q,float32_numeric,float64,rent,0.06882649388048956,6467
private_rental_price_annual_change_yoy_pct_lag8q,float32_numeric,float64,rent,0.06882649388048956,6467
average_private_rental_price_qoq_pct_lag2q,float32_numeric,float64,rent,0.06882649388048956,6184
average_private_rental_price_yoy_pct_lag4q,float32_numeric,float64,rent,0.06882649388048956,6340
average_private_rental_price_yoy_pct_lag8q,float32_numeric,float64,rent,0.06882649388048956,6301
gbp_index_qoq_pct_lag1q,float32_numeric,float64,market / FX,0.005183585313174946,42
gbp_index_qoq_pct_lag2q,float32_numeric,float64,market / FX,0.009503239740820735,41
gbp_index_qoq_pct_lag4q,float32_numeric,float64,market / FX,0.017278617710583154,37
gbp_index_qoq_pct_lag8q,float32_numeric,float64,market / FX,0.028509719222462204,32
gbp_index_yoy_pct_lag1q,float32_numeric,float64,market / FX,0.017710583153347732,36
gbp_index_yoy_pct_lag2q,float32_numeric,float64,market / FX,0.021454283657307414,35
gbp_index_yoy_pct_lag4q,float32_numeric,float64,market / FX,0.02706983441324694,31
gbp_index_yoy_pct_lag8q,float32_numeric,float64,market / FX,0.0367170626349892,29
ftse_100_qoq_pct_lag1q,float32_numeric,float64,market / FX,0.005183585313174946,42
ftse_100_qoq_pct_lag2q,float32_numeric,float64,market / FX,0.009503239740820735,41
ftse_100_qoq_pct_lag4q,float32_numeric,float64,market / FX,0.017278617710583154,37
